test_id,beta,g,g2,cutoff,mode_count,energy_seed,E0,E1,E2,E3,E4,lambda_disc,lambda_cont,p0_ed,p1_ed,p2_ed,p3_ed,p4_ed,p0_analytic,p1_analytic,p2_analytic,p3_analytic,p4_analytic,shift0_ed,shift1_ed,shift2_ed,shift3_ed,shift4_ed,shift0_analytic,shift1_analytic,shift2_analytic,shift3_analytic,shift4_analytic,p4_path_mean,p4_path_sem,p4_scalar_mean,p4_scalar_sem,lambda_est_ed,lambda_est_analytic,lambda_est_path_mean,lambda_est_path_sem,lambda_est_scalar_mean,lambda_est_scalar_sem,x_var_path_mean,x_var_scalar_mean,c_beta_disc
LT-CG-1,0.45,0.3,0.09,4,2,20260212,0.0,0.4284824743646949,0.6872455421412269,1.4780071650841098,1.918551582773322,0.027424019846285223,0.04125296124941927,0.2857286444792891,0.23562120487408825,0.2097218378334079,0.1469275106927395,0.12200080212047525,0.2857283815670292,0.23562098806802215,0.20972164485855788,0.14692737549788018,0.12200161000851054,0.0,-2.6645352591003757e-15,-8.881784197001252e-16,6.661338147750939e-16,0.02740725959138879,0.0,-2.7755575615628914e-16,1.1102230246251565e-16,-2.220446049250313e-16,0.027424019846285175,0.12199301330623419,1.5087446853881017e-05,0.12197840265448189,1.841213367600993e-05,0.02740725959138879,0.027424019846285175,0.027245419792449696,0.0003130097610290943,0.02694215499924703,0.00038208084240906105,0.02476466124922358,0.024596399364343095,0.0246816178616567
LT-CG-1,0.45,0.3,0.09,6,2,20260212,0.0,0.4284824743646949,0.6872455421412269,1.4780071650841098,1.918551582773322,0.027424019846285223,0.04125296124941927,0.2857283827698382,0.2356209890598976,0.20972164574140703,0.1469273761163892,0.122001606312468,0.2857283815670292,0.23562098806802215,0.20972164485855788,0.14692737549788018,0.12200161000851054,0.0,-2.9976021664879227e-15,-8.881784197001252e-16,2.220446049250313e-16,0.027423943169273546,0.0,-2.7755575615628914e-16,1.1102230246251565e-16,-2.220446049250313e-16,0.027424019846285175,0.12199301330623419,1.5087446853881017e-05,0.12197840265448189,1.841213367600993e-05,0.027423943169273546,0.027424019846285175,0.027245419792449696,0.0003130097610290943,0.02694215499924703,0.00038208084240906105,0.02476466124922358,0.024596399364343095,0.0246816178616567
LT-CG-1,0.45,0.3,0.09,8,2,20260212,0.0,0.4284824743646949,0.6872455421412269,1.4780071650841098,1.918551582773322,0.027424019846285223,0.04125296124941927,0.285728381571917,0.23562098807205245,0.20972164486214537,0.14692737550039328,0.12200160999349191,0.2857283815670292,0.23562098806802215,0.20972164485855788,0.14692737549788018,0.12200161000851054,0.0,-3.608224830031759e-15,-1.2212453270876722e-15,-5.10702591327572e-15,0.027424019534710853,0.0,-2.7755575615628914e-16,1.1102230246251565e-16,-2.220446049250313e-16,0.027424019846285175,0.12199301330623419,1.5087446853881017e-05,0.12197840265448189,1.841213367600993e-05,0.027424019534710853,0.027424019846285175,0.027245419792449696,0.0003130097610290943,0.02694215499924703,0.00038208084240906105,0.02476466124922358,0.024596399364343095,0.0246816178616567
LT-CG-1,0.65,0.3,0.09,4,2,20260212,0.0,0.4284824743646949,0.6872455421412269,1.4780071650841098,1.918551582773322,0.027424019846285223,0.04125296124941927,0.32554440277713365,0.24640715221135037,0.20826040921326253,0.12456083225995065,0.09522720353830284,0.3255443935366521,0.24640714521715656,0.20826040330185225,0.12456082872432837,0.09522722922001065,0.0,-1.7763568394002505e-15,1.3322676295501878e-15,-1.1102230246251565e-15,0.0274235612717586,0.0,0.0,0.0,0.0,0.027424019846285397,0.09523585358107114,1.3443384940793405e-05,0.09523595260921996,1.6956392018791488e-05,0.0274235612717586,0.027424019846285397,0.027577783421938465,0.0002400596527325962,0.027579417221598027,0.0003027508724743727,0.035772366832135735,0.035618144713225976,0.03565122580017079
LT-CG-1,0.65,0.3,0.09,6,2,20260212,0.0,0.4284824743646949,0.6872455421412269,1.4780071650841098,1.918551582773322,0.027424019846285223,0.04125296124941927,0.32554439354033704,0.24640714521994597,0.20826040330420986,0.12456082872573845,0.09522722920976884,0.3255443935366521,0.24640714521715656,0.20826040330185225,0.12456082872432837,0.09522722922001065,0.0,1.6653345369377348e-15,1.887379141862766e-15,1.7763568394002505e-15,0.027424019663407684,0.0,0.0,0.0,0.0,0.027424019846285397,0.09523585358107114,1.3443384940793405e-05,0.09523595260921996,1.6956392018791488e-05,0.027424019663407684,0.027424019846285397,0.027577783421938465,0.0002400596527325962,0.027579417221598027,0.0003027508724743727,0.035772366832135735,0.035618144713225976,0.03565122580017079
LT-CG-1,0.65,0.3,0.09,8,2,20260212,0.0,0.4284824743646949,0.6872455421412269,1.4780071650841098,1.918551582773322,0.027424019846285223,0.04125296124941927,0.32554439353665326,0.2464071452171577,0.20826040330185322,0.12456082872432897,0.0952272292200068,0.3255443935366521,0.24640714521715656,0.20826040330185225,0.12456082872432837,0.09522722922001065,0.0,1.6653345369377348e-15,1.6653345369377348e-15,1.7763568394002505e-15,0.027424019846218117,0.0,0.0,0.0,0.0,0.027424019846285397,0.09523585358107114,1.3443384940793405e-05,0.09523595260921996,1.6956392018791488e-05,0.027424019846218117,0.027424019846285397,0.027577783421938465,0.0002400596527325962,0.027579417221598027,0.0003027508724743727,0.035772366832135735,0.035618144713225976,0.03565122580017079
LT-CG-1,0.9,0.3,0.09,4,2,20260212,0.0,0.4284824743646949,0.6872455421412269,1.4780071650841098,1.918551582773322,0.027424019846285223,0.04125296124941927,0.37516436620707083,0.25511897702090164,0.20211629547255763,0.09920196189380129,0.06839839940566876,0.3751643659674234,0.25511897685793744,0.20211629534344994,0.09920196183043299,0.06839840000075617,0.0,-2.4980018054066022e-15,-6.661338147750939e-16,8.881784197001252e-16,0.02742400946951684,0.0,2.220446049250313e-16,-1.1102230246251565e-16,0.0,0.027424019846285397,0.06839547646090807,1.4841723166385936e-05,0.06841672209557606,1.7886914975548592e-05,0.02742400946951684,0.027424019846285397,0.027372649567719426,0.0002588545782761745,0.02774290269773827,0.0003119684153514661,0.049475031529248245,0.049322588854233296,0.0493632357233134
LT-CG-1,0.9,0.3,0.09,6,2,20260212,0.0,0.4284824743646949,0.6872455421412269,1.4780071650841098,1.918551582773322,0.027424019846285223,0.04125296124941927,0.3751643659674303,0.2551189768579415,0.20211629534345352,0.0992019618304349,0.06839840000073982,0.3751643659674234,0.25511897685793744,0.20211629534344994,0.09920196183043299,0.06839840000075617,0.0,-2.4980018054066022e-15,-7.771561172376096e-16,8.881784197001252e-16,0.02742401984599918,0.0,2.220446049250313e-16,-1.1102230246251565e-16,0.0,0.027424019846285397,0.06839547646090807,1.4841723166385936e-05,0.06841672209557606,1.7886914975548592e-05,0.02742401984599918,0.027424019846285397,0.027372649567719426,0.0002588545782761745,0.02774290269773827,0.0003119684153514661,0.049475031529248245,0.049322588854233296,0.0493632357233134
LT-CG-1,0.9,0.3,0.09,8,2,20260212,0.0,0.4284824743646949,0.6872455421412269,1.4780071650841098,1.918551582773322,0.027424019846285223,0.04125296124941927,0.3751643659674241,0.2551189768579372,0.20211629534345016,0.09920196183043278,0.0683984000007559,0.3751643659674234,0.25511897685793744,0.20211629534344994,0.09920196183043299,0.06839840000075617,0.0,-2.6645352591003757e-15,-7.771561172376096e-16,-4.440892098500626e-15,0.027424019846278735,0.0,2.220446049250313e-16,-1.1102230246251565e-16,0.0,0.027424019846285397,0.06839547646090807,1.4841723166385936e-05,0.06841672209557606,1.7886914975548592e-05,0.027424019846278735,0.027424019846285397,0.027372649567719426,0.0002588545782761745,0.02774290269773827,0.0003119684153514661,0.049475031529248245,0.049322588854233296,0.0493632357233134
LT-CG-1,1.2,0.3,0.09,4,2,20260212,0.0,0.4284824743646949,0.6872455421412269,1.4780071650841098,1.918551582773322,0.027424019846285223,0.04125296124941927,0.43300190527551097,0.2589313992692397,0.1898145376085975,0.07348883795043552,0.04476331989621627,0.43300190525785026,0.2589313992586792,0.1898145376008556,0.07348883794743818,0.04476331993517702,0.0,-1.4988010832439613e-15,1.1102230246251565e-16,-4.440892098500626e-16,0.027424019086985885,0.0,0.0,0.0,0.0,0.027424019846285175,0.044780538741124525,1.2542001596048368e-05,0.04475449224256056,1.0927271372239405e-05,0.027424019086985885,0.027424019846285175,0.027759043236734324,0.0002443647098558043,0.02725159068782393,0.000212971593848273,0.06621569233364498,0.06550601323445163,0.06581764763108454
