test_id,template,beta,fit_c0,fit_alpha2,fit_alpha4,pred_alpha2,pred_alpha4,hmf_basis_residual,kappa2,kappa4,chi4,alpha2_abs_err,alpha4_abs_err
LT-CNG-1,0,0.8,0.7834380526106036,0.7836781468645324,-0.09996615667188546,-0.016322405649304983,-0.0,1.196034149302685e-15,0.026115849038887973,0.0,0.0,0.8000005525138374,0.09996615667188546
LT-CNG-1,1,0.8,0.7831292533207442,0.7840167710261432,-0.09996891206943137,-0.015983668763541736,0.00011564823173178712,7.431235496772554e-16,0.025573870021666778,-0.0022204460492503126,-3.3950589355350806,0.8000004397896849,0.10008456030116315
LT-CNG-1,2,0.8,0.7837362278290247,0.7833204126200519,-0.09995321516947508,-0.016680607381469592,2.3129646346357422e-05,8.942322045457498e-16,0.026688971810351347,-0.00044408920985006256,-0.6234570418639833,0.8000010200015215,0.09997634481582145
LT-CNG-1,0,1.2,0.39459504800573403,0.7781851229611841,-0.09991097315970754,-0.02181785411287724,-1.541976423090495e-05,1.5137541918198063e-15,0.05236284987090537,0.00044408920985006256,0.161965930577257,0.8000029770740614,0.09989555339547664
LT-CNG-1,1,1.2,0.3942667487444417,0.7786924183476398,-0.0999198853615364,-0.02130987867647131,-0.0,1.0377215691502567e-15,0.05114370882353114,0.0,0.0,0.8000022970241111,0.0999198853615364
LT-CNG-1,2,1.2,0.39506163915560727,0.7774001425375242,-0.09987498504812686,-0.022605389257998907,-0.0003392348130799089,1.0431144160255676e-15,0.05425293421919737,0.009769962616701376,3.319299485954654,0.8000055317955231,0.09953575023504696
